Object Tracking Data File Wed, Oct 02, 2019 10:34 AM
X (pixels)  	Y (pixels)  
690.87	447.76
690.86	447.40
691.21	447.47
690.99	448.33
690.93	447.09
691.20	447.34
690.89	447.76
690.80	447.95
690.99	447.49
691.09	447.77
690.94	447.70
690.91	447.45
691.00	447.63
690.86	447.76
690.66	447.33
690.77	447.50
690.66	447.32
691.00	447.53
691.12	447.62
690.51	447.55
690.60	447.28
690.53	447.58
690.75	447.26
690.91	447.59
690.93	447.50
691.20	447.79
690.79	447.62
690.59	447.48
690.70	447.63
691.20	447.87
690.68	447.75
690.86	447.81
691.20	448.01
691.04	448.01
691.02	447.27
690.75	447.12
691.04	447.63
691.18	447.39
690.85	447.91
690.85	447.76
691.05	447.84
690.76	447.79
691.33	447.98
691.45	448.08
690.98	447.89
691.19	447.68
690.90	447.64
690.79	447.92
691.29	447.79
691.02	448.07
691.22	447.85
691.04	447.81
691.16	448.41
691.13	447.93
691.28	448.49
690.81	448.02
691.09	447.90
691.47	447.90
691.12	448.03
691.23	448.10
690.93	447.75
691.03	448.04
691.14	447.71
691.33	448.11
691.20	447.64
690.83	448.02
691.14	447.93
691.24	447.90
690.87	447.95
690.97	447.65
691.43	448.15
691.45	448.09
691.16	448.10
691.21	448.03
691.16	448.41
691.34	448.29
691.05	448.19
690.79	448.15
691.37	448.23
691.26	448.26
691.07	448.03
691.34	448.11
690.81	447.89
691.32	447.89
691.18	447.81
691.62	448.17
691.15	447.92
691.39	448.03
691.25	447.93
691.33	448.19
691.14	447.92
690.97	448.28
691.35	448.06
691.39	448.15
691.15	448.38
691.06	447.77
691.05	447.86
691.49	448.10
691.11	448.06
691.14	448.20
691.12	448.10
691.33	448.30
691.20	448.32
691.27	448.26
691.33	448.39
691.29	448.20
691.25	448.39
691.06	448.09
691.67	448.43
691.21	448.11
691.42	448.12
691.39	448.16
691.17	448.33
691.01	448.34
691.34	448.78
691.21	448.08
691.57	448.19
691.47	448.33
691.54	448.57
691.07	448.10
