Object Tracking Data File Wed, Oct 02, 2019 11:48 AM
X (pixels)  	Y (pixels)  
518.85	391.63
517.16	391.19
524.65	394.03
523.14	405.91
514.91	426.67
514.15	424.64
506.56	435.83
500.44	430.38
491.25	439.97
490.05	440.61
503.26	447.98
509.56	452.37
509.66	458.30
506.82	460.48
499.76	454.68
492.69	452.83
488.97	470.89
486.29	472.90
485.95	475.50
493.37	484.73
475.34	500.26
474.79	502.91
475.44	512.16
472.42	508.76
473.80	517.14
474.98	514.07
481.04	522.82
476.74	523.95
474.16	523.04
475.29	524.90
468.78	512.58
473.91	531.07
462.98	539.91
463.08	545.10
458.96	543.63
464.12	539.22
458.10	536.55
454.22	537.25
461.06	543.47
466.04	544.34
464.59	546.39
462.84	549.07
453.19	550.78
450.83	548.94
452.30	559.70
449.38	560.64
448.42	566.97
436.59	575.14
442.76	583.17
438.75	580.14
444.38	581.86
444.51	591.10
441.76	603.93
437.55	604.20
441.13	604.22
429.05	619.75
420.18	636.47
418.60	636.37
400.32	644.67
410.01	654.98
415.48	663.55
411.44	665.23
421.64	666.20
409.50	671.63
413.49	684.94
410.66	686.11
412.73	689.75
411.33	696.68
420.29	702.53
422.55	698.75
420.89	691.44
419.48	694.65
425.87	696.15
431.42	697.44
435.98	699.01
439.72	690.21
441.24	692.15
443.86	696.26
442.94	693.85
438.73	692.74
436.54	692.13
430.36	699.38
426.63	700.67
426.97	710.31
433.36	712.23
435.07	721.12
438.81	721.46
438.07	721.91
441.77	728.94
443.69	721.35
445.33	717.09
446.65	714.17
433.67	716.60
441.14	725.21
442.90	721.62
446.53	721.07
449.65	724.21
445.30	723.59
444.22	723.47
443.33	723.38
443.02	726.01
457.67	752.70
459.16	761.82
462.10	771.28
457.40	772.75
451.14	785.40
450.69	785.40
453.65	795.52
440.84	792.37
449.11	796.65
447.13	794.23
448.54	795.45
445.87	794.43
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
