Object Tracking Data File Wed, Oct 16, 2019 9:56 AM
X (pixels)  	Y (pixels)
545.95	196.46
545.91	196.52
546.01	196.74
545.45	196.27
545.80	196.53
545.43	194.57
545.75	196.65
545.76	196.15
545.68	196.53
546.02	196.71
545.95	196.61
545.74	196.08
545.85	196.61
545.87	196.55
545.64	196.16
546.29	197.47
545.74	196.66
546.36	196.70
545.92	196.29
545.74	196.35
545.42	196.26
545.83	196.30
546.23	196.37
545.90	196.29
545.87	196.30
545.81	196.49
545.67	196.53
545.63	196.76
545.57	196.46
545.86	196.81
546.06	196.61
545.72	196.94
545.54	196.30
545.92	196.60
545.36	196.32
545.77	196.60
545.62	196.46
545.71	196.36
545.72	196.48
545.83	196.51
545.71	196.65
545.88	196.70
545.91	196.90
545.67	196.41
545.55	196.18
546.01	196.64
546.19	196.72
545.77	196.41
545.66	196.27
545.61	196.54
546.08	196.74
545.72	196.42
545.98	196.60
546.38	196.37
546.08	196.74
545.66	196.30
545.81	196.77
545.88	196.55
545.61	196.95
545.69	196.57
545.54	196.74
546.05	196.72
545.67	196.56
545.71	196.41
546.09	196.67
545.75	196.87
546.15	197.05
545.76	196.09
545.89	197.07
545.50	195.34
546.18	197.31
545.85	196.71
545.88	197.53
546.15	197.08
545.65	196.71
545.64	196.63
545.82	197.03
545.71	196.68
545.72	196.65
545.92	196.88
545.64	196.62
545.34	196.84
545.54	196.68
545.69	196.97
545.70	196.81
545.80	196.84
545.42	196.81
545.79	197.87
545.74	196.79
545.54	196.70
545.44	196.73
545.55	196.34
545.82	197.08
545.89	197.12
545.45	197.20
545.60	197.54
545.91	196.84
546.19	197.60
544.00	188.86
545.70	196.38
545.79	197.44
545.61	196.82
545.77	196.80
545.91	197.08
546.00	197.27
546.12	197.10
545.82	196.96
545.63	197.19
545.82	196.64
545.59	196.82
545.79	197.61
545.94	197.32
545.73	197.31
546.31	197.49
545.97	196.88
545.56	196.83
546.02	197.54
546.43	198.20
546.16	196.94
545.70	196.86
