Object Tracking Data File Wed, Oct 16, 2019 10:45 AM
X (pixels)  	Y (pixels)  
526.31	217.86
0.00	0.00
524.95	212.48
525.77	217.49
525.38	217.24
525.71	217.52
526.00	217.58
525.71	217.03
525.76	217.48
525.78	217.73
526.06	217.47
525.95	217.92
525.70	216.92
526.06	217.21
525.80	217.94
525.44	218.23
526.32	218.01
526.17	218.12
525.91	217.83
525.89	218.23
525.84	218.21
526.14	218.27
526.10	218.34
526.08	217.91
525.76	217.99
526.52	218.61
526.40	218.44
526.44	218.41
526.12	218.23
526.01	218.25
526.11	217.88
526.53	218.03
525.54	217.97
526.31	217.66
526.28	218.30
526.27	218.10
526.01	218.08
525.98	218.22
526.02	218.37
526.35	218.40
526.07	217.79
526.05	217.89
525.56	218.18
526.36	218.37
525.89	218.39
525.89	218.15
525.75	218.40
526.04	218.25
525.74	218.28
525.98	218.09
525.68	217.84
525.59	217.85
526.08	218.13
525.85	218.20
525.99	218.38
525.72	218.41
526.16	218.32
526.86	218.15
526.01	218.34
525.71	218.09
526.01	217.95
525.54	217.68
525.75	218.25
525.70	217.75
525.99	217.63
525.92	218.02
526.01	218.40
526.62	217.98
525.96	217.90
526.36	218.15
526.13	218.43
526.10	217.86
526.40	218.06
526.44	218.20
526.07	217.84
526.12	218.21
525.90	218.08
525.59	217.63
526.03	218.23
526.36	218.69
525.99	218.39
525.92	218.81
526.10	218.90
526.27	218.47
526.24	217.61
525.73	217.99
526.41	218.05
525.55	218.02
526.11	217.86
526.56	218.09
525.63	217.71
525.24	217.95
526.31	218.16
526.22	218.03
525.64	218.13
525.51	217.78
526.17	217.86
526.01	217.93
526.12	217.85
525.89	218.06
526.32	217.78
525.58	217.64
525.07	217.90
526.02	217.77
526.40	218.07
526.26	218.17
526.81	217.93
526.13	218.16
525.62	217.78
526.29	217.93
526.67	217.90
525.75	217.94
525.77	217.61
526.48	217.72
525.85	218.06
526.58	218.07
525.98	218.23
525.96	217.90
525.96	217.59
526.45	217.99
